,bs,time_hour,users
0,0,1345305600,0
1,0,1345309200,0
2,0,1345312800,0
3,0,1345316400,0
4,0,1345320000,0
5,0,1345323600,0
6,0,1345327200,0
7,0,1345330800,0
8,0,1345334400,1
9,0,1345338000,0
10,0,1345341600,0
11,0,1345345200,0
12,0,1345348800,1
13,0,1345352400,1
14,0,1345356000,1
15,0,1345359600,1
16,0,1345363200,0
17,0,1345366800,0
18,0,1345370400,1
19,0,1345374000,1
20,0,1345377600,1
21,0,1345381200,0
22,0,1345384800,0
23,0,1345388400,0
24,0,1345392000,0
25,0,1345395600,0
26,0,1345399200,0
27,0,1345402800,0
28,0,1345406400,0
29,0,1345410000,0
30,0,1345413600,0
31,0,1345417200,1
32,0,1345420800,0
33,0,1345424400,0
34,0,1345428000,0
35,0,1345431600,1
36,0,1345435200,0
37,0,1345438800,0
38,0,1345442400,0
39,0,1345446000,1
40,0,1345449600,1
41,0,1345453200,1
42,0,1345456800,1
43,0,1345460400,1
44,0,1345464000,0
45,0,1345467600,1
46,0,1345471200,1
47,0,1345474800,1
48,0,1345478400,0
49,0,1345482000,0
50,0,1345485600,0
51,0,1345489200,0
52,0,1345492800,0
53,0,1345496400,0
54,0,1345500000,0
55,0,1345503600,0
56,0,1345507200,1
57,0,1345510800,0
58,0,1345514400,0
59,0,1345518000,0
60,0,1345521600,0
61,0,1345525200,0
62,0,1345528800,0
63,0,1345532400,0
64,0,1345536000,0
65,0,1345539600,1
66,0,1345543200,1
67,0,1345546800,0
68,0,1345550400,1
69,0,1345554000,1
70,0,1345557600,1
71,0,1345561200,1
72,0,1345564800,0
73,0,1345568400,0
74,0,1345572000,0
75,0,1345575600,0
76,0,1345579200,0
77,0,1345582800,0
78,0,1345586400,0
79,0,1345590000,0
80,0,1345593600,0
81,0,1345597200,0
82,0,1345600800,0
83,0,1345604400,0
84,0,1345608000,0
85,0,1345611600,0
86,0,1345615200,0
87,0,1345618800,0
88,0,1345622400,0
89,0,1345626000,1
90,0,1345629600,1
91,0,1345633200,1
92,0,1345636800,1
93,0,1345640400,1
94,0,1345644000,1
95,0,1345647600,1
96,0,1345651200,0
97,0,1345654800,0
98,0,1345658400,0
99,0,1345662000,0
100,0,1345665600,0
101,0,1345669200,0
102,0,1345672800,0
103,0,1345676400,1
104,0,1345680000,1
105,0,1345683600,0
106,0,1345687200,0
107,0,1345690800,0
108,0,1345694400,0
109,0,1345698000,0
110,0,1345701600,0
111,0,1345705200,0
112,0,1345708800,0
113,0,1345712400,0
114,0,1345716000,1
115,0,1345719600,0
116,0,1345723200,0
117,0,1345726800,1
118,0,1345730400,1
119,0,1345734000,1
120,0,1345737600,0
121,0,1345741200,0
122,0,1345744800,0
123,0,1345748400,0
124,0,1345752000,0
125,0,1345755600,0
126,0,1345759200,0
127,0,1345762800,1
128,0,1345766400,1
129,0,1345770000,0
130,0,1345773600,0
131,0,1345777200,0
132,0,1345780800,0
133,0,1345784400,0
134,0,1345788000,0
135,0,1345791600,0
136,0,1345795200,0
137,0,1345798800,1
138,0,1345802400,1
139,0,1345806000,1
140,0,1345809600,1
141,0,1345813200,1
142,0,1345816800,1
143,0,1345820400,0
144,0,1345824000,0
145,0,1345827600,0
146,0,1345831200,0
147,0,1345834800,0
148,0,1345838400,1
149,0,1345842000,1
150,0,1345845600,0
151,0,1345849200,0
152,0,1345852800,0
153,0,1345856400,0
154,0,1345860000,0
155,0,1345863600,0
156,0,1345867200,0
157,0,1345870800,0
158,0,1345874400,0
159,0,1345878000,1
160,0,1345881600,0
161,0,1345885200,1
162,0,1345888800,1
163,0,1345892400,1
164,0,1345896000,1
165,0,1345899600,0
166,0,1345903200,0
167,0,1345906800,0
168,0,1345910400,0
169,0,1345914000,0
170,0,1345917600,0
171,0,1345921200,0
172,0,1345924800,0
173,0,1345928400,0
174,0,1345932000,0
175,0,1345935600,0
176,0,1345939200,1
177,0,1345942800,0
178,0,1345946400,0
179,0,1345950000,0
180,0,1345953600,0
181,0,1345957200,0
182,0,1345960800,0
183,0,1345964400,1
184,0,1345968000,0
185,0,1345971600,1
186,0,1345975200,1
187,0,1345978800,1
188,0,1345982400,0
189,0,1345986000,0
190,0,1345989600,0
191,0,1345993200,0
192,1,1345305600,1
193,1,1345309200,0
194,1,1345312800,0
195,1,1345316400,1
196,1,1345320000,1
197,1,1345323600,2
198,1,1345327200,1
199,1,1345330800,2
200,1,1345334400,1
201,1,1345338000,2
202,1,1345341600,2
203,1,1345345200,2
204,1,1345348800,2
205,1,1345352400,1
206,1,1345356000,1
207,1,1345359600,3
208,1,1345363200,1
209,1,1345366800,1
