Unnamed: 0,bs,time_hour,users
0,0,1345305600,0
1,0,1345309200,0
2,0,1345312800,0
3,0,1345316400,0
4,0,1345320000,6
5,0,1345323600,10
6,0,1345327200,14
7,0,1345330800,20
8,0,1345334400,16
9,0,1345338000,10
10,0,1345341600,10
11,0,1345345200,14
12,0,1345348800,12
13,0,1345352400,4
14,0,1345356000,4
15,0,1345359600,6
16,0,1345363200,4
17,0,1345366800,4
18,0,1345370400,2
19,0,1345374000,2
20,0,1345377600,0
21,0,1345381200,0
22,0,1345384800,0
23,0,1345388400,0
24,0,1345392000,2
25,0,1345395600,0
26,0,1345399200,0
27,0,1345402800,0
28,0,1345406400,0
29,0,1345410000,0
30,0,1345413600,0
31,0,1345417200,14
32,0,1345420800,38
33,0,1345424400,56
34,0,1345428000,54
35,0,1345431600,36
36,0,1345435200,22
37,0,1345438800,28
38,0,1345442400,28
39,0,1345446000,36
40,0,1345449600,36
41,0,1345453200,8
42,0,1345456800,4
43,0,1345460400,4
44,0,1345464000,4
45,0,1345467600,4
46,0,1345471200,2
47,0,1345474800,0
48,0,1345478400,2
49,0,1345482000,0
50,0,1345485600,0
51,0,1345489200,0
52,0,1345492800,0
53,0,1345496400,0
54,0,1345500000,0
55,0,1345503600,14
56,0,1345507200,38
57,0,1345510800,56
58,0,1345514400,54
59,0,1345518000,36
60,0,1345521600,22
61,0,1345525200,36
62,0,1345528800,34
63,0,1345532400,32
64,0,1345536000,22
65,0,1345539600,8
66,0,1345543200,2
67,0,1345546800,2
68,0,1345550400,4
69,0,1345554000,4
70,0,1345557600,2
71,0,1345561200,2
72,0,1345564800,2
73,0,1345568400,2
74,0,1345572000,0
75,0,1345575600,0
76,0,1345579200,4
77,0,1345582800,0
78,0,1345586400,0
79,0,1345590000,6
80,0,1345593600,10
81,0,1345597200,14
82,0,1345600800,20
83,0,1345604400,16
84,0,1345608000,10
85,0,1345611600,14
86,0,1345615200,12
87,0,1345618800,14
88,0,1345622400,6
89,0,1345626000,4
90,0,1345629600,6
91,0,1345633200,4
92,0,1345636800,2
93,0,1345640400,2
94,0,1345644000,0
95,0,1345647600,0
96,0,1345651200,2
97,0,1345654800,2
98,0,1345658400,2
99,0,1345662000,0
100,0,1345665600,0
101,0,1345669200,0
102,0,1345672800,0
103,0,1345676400,12
104,0,1345680000,32
105,0,1345683600,46
106,0,1345687200,42
107,0,1345690800,30
108,0,1345694400,20
109,0,1345698000,24
110,0,1345701600,26
111,0,1345705200,30
112,0,1345708800,24
113,0,1345712400,6
114,0,1345716000,0
115,0,1345719600,4
116,0,1345723200,2
117,0,1345726800,4
118,0,1345730400,2
119,0,1345734000,2
120,0,1345737600,2
121,0,1345741200,0
122,0,1345744800,0
123,0,1345748400,0
124,0,1345752000,0
125,0,1345755600,0
126,0,1345759200,0
127,0,1345762800,4
128,0,1345766400,8
129,0,1345770000,18
130,0,1345773600,16
131,0,1345777200,14
132,0,1345780800,12
133,0,1345784400,12
134,0,1345788000,18
135,0,1345791600,10
136,0,1345795200,8
137,0,1345798800,4
138,0,1345802400,2
139,0,1345806000,4
140,0,1345809600,2
141,0,1345813200,4
142,0,1345816800,4
143,0,1345820400,2
144,0,1345824000,0
145,0,1345827600,0
146,0,1345831200,0
147,0,1345834800,0
148,0,1345838400,6
149,0,1345842000,10
150,0,1345845600,14
151,0,1345849200,20
152,0,1345852800,16
153,0,1345856400,10
154,0,1345860000,14
155,0,1345863600,12
156,0,1345867200,14
157,0,1345870800,6
158,0,1345874400,4
159,0,1345878000,6
160,0,1345881600,4
161,0,1345885200,4
162,0,1345888800,2
163,0,1345892400,2
164,0,1345896000,0
165,0,1345899600,0
166,0,1345903200,0
167,0,1345906800,0
168,0,1345910400,0
169,0,1345914000,0
170,0,1345917600,0
171,0,1345921200,0
172,0,1345924800,6
173,0,1345928400,10
174,0,1345932000,14
175,0,1345935600,20
176,0,1345939200,16
177,0,1345942800,10
178,0,1345946400,10
179,0,1345950000,14
180,0,1345953600,12
181,0,1345957200,4
182,0,1345960800,4
183,0,1345964400,6
184,0,1345968000,4
185,0,1345971600,4
186,0,1345975200,4
187,0,1345978800,6
188,0,1345982400,4
189,0,1345986000,2
190,0,1345989600,0
191,0,1345993200,0
192,1,1345305600,2
193,1,1345309200,2
194,1,1345312800,0
195,1,1345316400,2
196,1,1345320000,8
197,1,1345323600,18
198,1,1345327200,24
199,1,1345330800,32
200,1,1345334400,24
201,1,1345338000,18
202,1,1345341600,24
203,1,1345345200,22
204,1,1345348800,26
205,1,1345352400,18
206,1,1345356000,18
207,1,1345359600,12
208,1,1345363200,10
209,1,1345366800,14
